sistema,nombre,same_as_wikidata_nombre,nombre-uri,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,tipo,tipo-uri,alcaldia-1,same_as_wikidata_alcaldia-1,alcaldia-2,same_as_wikidata_alcaldia-2,alcaldias-uri,anio
STC Metro,Niños Héroes / Poder Judicial CDMX,https://www.wikidata.org/entity/Q6824647,ninos-heroes,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Hospital General,https://www.wikidata.org/entity/Q6824588,hospital-general,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Centro Médico,https://www.wikidata.org/entity/Q5810513,centro-medico,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1980
STC Metro,Etiopía-Plaza de la Transparencia,https://www.wikidata.org/entity/Q3429486,etiopia,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1980
STC Metro,Eugenia,https://www.wikidata.org/entity/Q6824568,eugenia,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1980
STC Metro,División del Norte,https://www.wikidata.org/entity/Q6824558,division-del-norte,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1980
STC Metro,Zapata,https://www.wikidata.org/entity/Q6824782,zapata,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1980
STC Metro,Coyoacán,https://www.wikidata.org/entity/Q3366731,coyoacan,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1983
STC Metro,Viveros / Derechos Humanos,https://www.wikidata.org/entity/Q7335651,viveros-derechos-humanos,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Álvaro Obregón,https://wikidata.org/entity/Q14906254,Coyoacán,,alvaro-obregon;coyoacan,1983
STC Metro,Miguel Ángel de Quevedo,https://www.wikidata.org/entity/Q6824630,miguel-angel-de-quevedo,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Coyoacán,https://wikidata.org/entity/Q661315,,,coyoacan,1983
