sistema,nombre,nombre-uri,linea,linea-uri,tipo,tipo-uri,alcaldias,alcaldias-uri,anio
STC Metro,El Rosario,el-rosario,07,linea-7,Terminal / Transbordo,terminal-transbordo,Azcapotzalco,azcapotzalco,1988
STC Metro,Aquiles Serdán,aquiles-serdan,07,linea-7,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Camarones,camarones,07,linea-7,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Refinería,refineria,07,linea-7,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Tacuba,tacuba,07,linea-7,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,miguel-hidalgo,1984
STC Metro,San Joaquín,san-joaquin,07,linea-7,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1984
STC Metro,Polanco,polanco,07,linea-7,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1984
STC Metro,Auditorio,auditorio,07,linea-7,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1984
STC Metro,Constituyentes,constituyentes,07,linea-7,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1985
STC Metro,Tacubaya,tacubaya,07,linea-7,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,miguel-hidalgo,1985
STC Metro,San Pedro de Los Pinos,san-pedro-de-los-pinos,07,linea-7,Intermedia,intermedia,Benito Juárez,benito-juarez,1985
STC Metro,San Antonio,san-antonio,07,linea-7,Intermedia,intermedia,Benito Juárez,benito-juarez,1985
STC Metro,Mixcoac,mixcoac,07,linea-7,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,benito-juarez,1985
STC Metro,Barranca del Muerto,barranca-del-muerto,07,linea-7,Terminal,terminal,Álvaro Obregón,alvaro-obregon,1985
STC Metro,Garibaldi-Lagunilla,garibaldi-lagunilla,08,linea-8,Terminal / Transbordo,terminal-transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Bellas Artes,bellas-artes,08,linea-8,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,San Juan de Letrán,san-juan-de-letran,08,linea-8,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Salto del Agua,salto-del-agua,08,linea-8,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Doctores,doctores,08,linea-8,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Obrera,obrera,08,linea-8,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Chabacano,chabacano,08,linea-8,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,La Viga,la-viga,08,linea-8,Intermedia,intermedia,Cuauhtémoc / Venustiano Carranza,cuauhtemoc;venustiano-carranza,1994
STC Metro,Santa Anita,santa-anita,08,linea-8,Intermedia / Transbordo,intermedia-transbordo,Iztacalco,iztacalco,1994
STC Metro,Coyuya,coyuya,08,linea-8,Intermedia,intermedia,Iztacalco,iztacalco,1994
