fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR9,789
,,,,HOR10,812
,,,,HOR11,734
,,,,HOR12,805
01/03/2025,2025-03-01T01:00:00,ES08,Este,HOR1,820
,,,,HOR2,698
,,,,HOR3,690
,,,,HOR4,667
,,,,HOR5,598
,,,,HOR6,520
,,,,HOR7,519
,,,,HOR8,534
,,,,HOR9,555
,,,,HOR10,595
,,,,HOR11,683
,,,,HOR12,754
01/03/2025,2025-03-01T01:00:00,ES08,Oeste,HOR1,814
,,,,HOR2,814
,,,,HOR3,805
,,,,HOR4,835
,,,,HOR5,831
,,,,HOR6,796
,,,,HOR7,729
,,,,HOR8,757
,,,,HOR9,752
,,,,HOR10,822
,,,,HOR11,802
,,,,HOR12,793
01/03/2025,2025-03-01T01:00:00,ES09,Norte,HOR1,663
,,,,HOR2,573
,,,,HOR3,576
,,,,HOR4,544
,,,,HOR5,410
,,,,HOR6,409
,,,,HOR7,433
,,,,HOR8,478
,,,,HOR9,496
,,,,HOR10,550
,,,,HOR11,674
,,,,HOR12,786
01/03/2025,2025-03-01T01:00:00,ES09,Sur,HOR1,858
,,,,HOR2,645
,,,,HOR3,748
,,,,HOR4,804
,,,,HOR5,747
,,,,HOR6,667
,,,,HOR7,617
,,,,HOR8,582
,,,,HOR9,510
,,,,HOR10,698
,,,,HOR11,698
,,,,HOR12,639
01/03/2025,2025-03-01T01:00:00,ES09,Este,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES09,Oeste,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES10,Norte,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES10,Sur,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES10,Este,HOR1,295
,,,,HOR2,38
,,,,HOR3,175
,,,,HOR4,138
,,,,HOR5,111
,,,,HOR6,131
,,,,HOR7,188
,,,,HOR8,225
,,,,HOR9,289
,,,,HOR10,384
,,,,HOR11,505
,,,,HOR12,514
01/03/2025,2025-03-01T01:00:00,ES10,Oeste,HOR1,393
,,,,HOR2,530
,,,,HOR3,541
,,,,HOR4,454
,,,,HOR5,434
,,,,HOR6,512
,,,,HOR7,529
,,,,HOR8,498
,,,,HOR9,495
,,,,HOR10,458
,,,,HOR11,399
,,,,HOR12,330
01/03/2025,2025-03-01T01:00:00,ES11,Norte,HOR1,1809
,,,,HOR2,1045
,,,,HOR3,570
,,,,HOR4,345
,,,,HOR5,226
,,,,HOR6,217
,,,,HOR7,376
,,,,HOR8,1048
,,,,HOR9,2523
,,,,HOR10,2231
,,,,HOR11,2596
,,,,HOR12,2802
01/03/2025,2025-03-01T01:00:00,ES11,Sur,HOR1,3349
,,,,HOR2,3549
,,,,HOR3,3975
,,,,HOR4,3583
,,,,HOR5,1917
,,,,HOR6,1907
,,,,HOR7,2564
,,,,HOR8,2821
,,,,HOR9,2622
,,,,HOR10,2451
,,,,HOR11,2052
,,,,HOR12,1457
01/03/2025,2025-03-01T01:00:00,ES11,Este,HOR1,1468
,,,,HOR2,1132
,,,,HOR3,756
,,,,HOR4,472
,,,,HOR5,347
,,,,HOR6,339
,,,,HOR7,376
,,,,HOR8,718
,,,,HOR9,997
,,,,HOR10,1940
,,,,HOR11,2086
,,,,HOR12,2596
01/03/2025,2025-03-01T01:00:00,ES11,Oeste,HOR1,3406
,,,,HOR2,3806
