IdStation,Name,Address,AddressForReconciling,same_as_wikidata_address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
1608,202 - Parque de Santander,"Calle de Santander, 1","Calle de Santander, Madrid",https://www.wikidata.org/entity/Q29648920,13,14,27,Poca disponibilidad,Disponible,-3.7083,40.4413
1612,206 - Metro Tetuán,"Calle Marqués de Viana, 3","Calle del Marqués de Viana, Madrid",https://www.wikidata.org/entity/Q28944893,1,22,23,Fuera de servicio,Disponible,-3.698916,40.460747
1613,207 - Plaza de la Remonta,"Calle Azucenas, 2",calle de las Azucenas,https://www.wikidata.org/entity/Q27150352,0,19,19,Fuera de servicio,Disponible,-3.697335,40.463044
1614,208 - Intercambiador de Plaza de Castilla,"Paseo de la Castellana, 216",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,0,18,18,Fuera de servicio,Disponible,-3.689061,40.466281
1616,210 - Calle de las Tres Cruces - Gran Vía,Calle de las Tres Cruces,calle de las Tres Cruces,https://www.wikidata.org/entity/Q24537177,23,4,27,Disponible,Disponible,-3.702716,40.419652
1619,213 - Glorieta de Cádiz,"Calle de Antonio López, 129",calle de Antonio López,https://www.wikidata.org/entity/Q42238475,10,13,23,Poca disponibilidad,Disponible,-3.700225,40.388992
1623,217 - Hospital Universitario La Paz,"Calle Pedro Rico, 4","Calle de Pedro Rico, Madrid",https://www.wikidata.org/entity/Q56427389,20,3,23,Disponible,Disponible,-3.689076,40.480884
1624,218 - Camino de los Vinateros A,"Camino de Vinateros, 28",Calle Camino de los Vinateros,https://www.wikidata.org/entity/Q28935892,6,17,23,Fuera de servicio,Disponible,-3.657297,40.410548
1625,219 - Camino de los Vinateros B,"Camino de los Vinateros, 108",Calle Camino de los Vinateros,https://www.wikidata.org/entity/Q28935892,7,11,18,Poca disponibilidad,Disponible,-3.646734,40.408359
1627,221 - Metro Pavones,"Calle Hacienda de Pavones, 148","Calle de la Hacienda de Pavones, Madrid",https://www.wikidata.org/entity/Q28936083,20,3,23,Disponible,Disponible,-3.634744,40.400492
1629,223 - Ermita del Santo,"Paseo de la Ermita del Santo, 48",Paseo de la Ermita del Santo,https://www.wikidata.org/entity/Q28137105,10,17,27,Poca disponibilidad,Disponible,-3.724576,40.406448
1635,229 - Centro Deportivo Municipal Concepción,"Calle José del Hierro, 6","Calle de José del Hierro, Madrid",https://www.wikidata.org/entity/Q29910699,0,23,23,Fuera de servicio,Disponible,-3.648651,40.436938
1636,230 - Carlota O´Neill - Agastia,"Calle Carlota O Neill, 30-32",calle de Carlota O'Neill,https://www.wikidata.org/entity/Q29909274,2,22,24,Fuera de servicio,Disponible,-3.648825,40.443679
1639,233 - El dragón de La Elipa,"Calle Marqués de Corbera, 12","Avenida del Marqués de Corbera, Madrid",https://www.wikidata.org/entity/Q29168364,12,12,24,Poca disponibilidad,Disponible,-3.655579,40.422952
1640,234 - Metro La Elipa,"Avenida Marques de Corbera, 52","Avenida del Marqués de Corbera, Madrid",https://www.wikidata.org/entity/Q29168364,8,16,24,Poca disponibilidad,Disponible,-3.651092,40.426128
1642,236 - Paseo Imperial,"Paseo Imperial, 31",paseo Imperial,https://www.wikidata.org/entity/Q118634190,21,6,27,Disponible,Disponible,-3.717078,40.407579
1644,"238 - San Germán, 5","CalleSan Germán, 5","Calle de San Germán, Madrid",https://www.wikidata.org/entity/Q26750807,22,2,24,Disponible,Disponible,-3.693261,40.456182
1645,239 - Francos Rodríguez - José Calvo,"Calle de Francos Rodríguez, 62","Calle de Francos Rodríguez, Madrid",https://www.wikidata.org/entity/Q26810988,3,20,23,Fuera de servicio,Disponible,-3.707833,40.456713
1646,240 - Brasilia - Parque Breogán,"Avenida De Brasilia, 9",avenida de Brasilia,https://www.wikidata.org/entity/Q118670004,4,19,23,Fuera de servicio,Disponible,-3.66096,40.43666
1649,243 - Cartagena,"Calle Cartagena, 37","Calle de Cartagena, Madrid",https://www.wikidata.org/entity/Q27038851,3,20,23,Fuera de servicio,Disponible,-3.67012,40.43503
1650,244 - Hospital Clínico San Carlos,"Calle Isaac Peral, 42",calle de Isaac Peral,https://www.wikidata.org/entity/Q26791245,10,13,23,Poca disponibilidad,Disponible,-3.71757,40.44003
1651,245 - Galileo - Donoso Cortés,"Calle Galileo, 63",calle de Galileo,https://www.wikidata.org/entity/Q27031392,2,22,24,Fuera de servicio,Disponible,-3.710138,40.436364
1652,246 - Metro Iglesia,"Calle de Santa Engracia, 85-87",calle de Santa Engracia,https://www.wikidata.org/entity/Q26728109,23,4,27,Disponible,Disponible,-3.699248,40.435958
1653,247 - Zurbano - José Abascal,"Calle de Zurbano, 90",calle de Zurbano,https://www.wikidata.org/entity/Q27043742,18,5,23,Disponible,Disponible,-3.69281,40.43837
1654,248 - Sinesio Delgado - Cuatro Torres,"Calle de Sinesio Delgado, 2",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,22,5,27,Disponible,Disponible,-3.687997,40.474321
1655,249 - Castellana - Cuatro Torres,"Paseo de la Castellana, 298",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,23,1,24,Disponible,Disponible,-3.685319,40.479502
1656,250 - Serrano - CSIC,"Calle Serrano, 111",Serrano Street,https://www.wikidata.org/entity/Q5740879,16,11,27,Poca disponibilidad,Disponible,-3.68581,40.440649
1657,251 - Santa Hortensia - Corazón de María,"Calle Santa Hortensia, 31","Calle de Santa Hortensia, Madrid",https://www.wikidata.org/entity/Q28943619,2,21,23,Fuera de servicio,Disponible,-3.66683,40.44421
1658,252 - Est. tren Chamartín - Clara Campoamor,"Calle Agustín de Foxá, 40","Calle de Agustín de Foxá, Madrid",https://www.wikidata.org/entity/Q54526348,1,22,23,Fuera de servicio,Disponible,-3.683969,40.47174
1659,253 - Doctor Fleming - Estadio S. Bernabéu,"Calle del Doctor Fleming, 7",Calle del Doctor Fleming,https://www.wikidata.org/entity/Q28740159,19,0,19,Disponible,Disponible,-3.68844,40.45546
1660,254 - Plaza del Perú,"Avenida De Pio XII, 3",Avenida de Pío XII,https://www.wikidata.org/entity/Q54369706,6,17,23,Fuera de servicio,Disponible,-3.67656,40.461
