id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-04T06:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T07:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T08:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T09:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T10:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T11:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T12:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T13:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T14:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T15:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
